split,filename,niqe,brisque,piqe
val,0_1_part_005.mp4_frame_000035.jpg,4.5316,36.1774,47.3843
val,0_1_part_005.mp4_frame_000050.jpg,4.5102,36.2526,47.0064
val,0_1_part_005.mp4_frame_000079.jpg,4.5112,37.278,45.0352
val,0_1_part_005.mp4_frame_000081.jpg,4.4798,37.4211,44.559
val,0_1_part_005.mp4_frame_000131.jpg,4.3989,39.049,46.7138
val,0_1_part_005.mp4_frame_000133.jpg,4.3138,39.0827,45.331
val,0_1_part_005.mp4_frame_000139.jpg,4.3711,36.6657,43.7434
val,0_1_part_005.mp4_frame_000144.jpg,4.4454,39.7189,45.2967
val,0_1_part_005.mp4_frame_000157.jpg,4.3116,38.382,46.2614
val,0_1_part_005.mp4_frame_000190.jpg,4.4284,38.8972,44.4969
val,0_1_part_005.mp4_frame_000194.jpg,4.4044,40.2477,46.9187
val,0_1_part_005.mp4_frame_000195.jpg,4.4421,40.4211,48.0898
val,0_1_part_005.mp4_frame_000199.jpg,4.3925,41.9772,44.9686
val,0_1_part_005.mp4_frame_000200.jpg,4.3411,42.8391,46.8008
val,0_1_part_005.mp4_frame_000204.jpg,4.4561,48.1135,46.8431
val,0_1_part_005.mp4_frame_000205.jpg,4.5057,47.6672,47.9088
val,0_1_part_005.mp4_frame_000216.jpg,4.6847,47.4509,47.5947
val,0_1_part_005.mp4_frame_000223.jpg,4.7366,46.3005,48.2385
val,0_1_part_005.mp4_frame_000224.jpg,4.699,46.4933,47.6943
val,0_1_part_005.mp4_frame_000228.jpg,4.7193,48.9011,48.6006
val,0_1_part_005.mp4_frame_000249.jpg,4.4909,40.674,44.6362
val,0_1_part_005.mp4_frame_000253.jpg,4.5342,40.8586,47.7599
val,0_1_part_005.mp4_frame_000274.jpg,4.3701,34.8205,45.4909
val,0_1_part_005.mp4_frame_000297.jpg,4.5527,33.3322,47.4156
val,0_1_part_005.mp4_frame_000302.jpg,4.1787,27.5109,39.2071
val,0_1_part_005.mp4_frame_000311.jpg,4.2233,27.2194,40.5748
val,0_1_part_005.mp4_frame_000316.jpg,4.2555,27.6633,39.2155
val,0_1_part_005.mp4_frame_000324.jpg,4.3434,29.3708,42.6329
val,0_1_part_005.mp4_frame_000327.jpg,4.1916,28.8542,40.101
val,0_1_part_005.mp4_frame_000340.jpg,4.3172,30.0266,40.9709
val,0_1_part_005.mp4_frame_000351.jpg,4.289,30.6389,40.9987
val,0_1_part_005.mp4_frame_000354.jpg,4.2384,30.6955,40.4874
val,0_1_part_005.mp4_frame_000364.jpg,3.8777,25.8381,33.4454
val,0_1_part_005.mp4_frame_000392.jpg,3.347,34.6022,31.5917
val,0_1_part_005.mp4_frame_000405.jpg,4.8139,50.6506,50.7423
val,0_1_part_005.mp4_frame_000410.jpg,4.564,39.5871,45.1796
val,0_1_part_005.mp4_frame_000422.jpg,4.5203,37.946,42.0648
val,0_1_part_006.mp4_frame_000013.jpg,4.0672,41.7844,43.9268
val,0_1_part_006.mp4_frame_000016.jpg,3.9376,38.3303,38.8101
val,0_1_part_006.mp4_frame_000018.jpg,4.9864,43.2038,54.1433
val,0_1_part_006.mp4_frame_000023.jpg,4.2394,44.8879,47.3007
val,0_1_part_006.mp4_frame_000025.jpg,4.143,44.0241,47.1288
val,0_1_part_006.mp4_frame_000034.jpg,5.2104,42.3713,58.0274
val,0_1_part_006.mp4_frame_000041.jpg,3.9388,35.8708,36.33
val,0_1_part_006.mp4_frame_000055.jpg,3.4972,35.3381,28.5457
val,0_1_part_006.mp4_frame_000066.jpg,3.5951,33.1017,30.2611
val,0_1_part_006.mp4_frame_000104.jpg,3.2309,33.6149,24.1557
val,0_1_part_006.mp4_frame_000105.jpg,2.9015,30.2726,25.5906
val,0_1_part_006.mp4_frame_000107.jpg,2.9925,30.6052,24.7082
val,0_1_part_006.mp4_frame_000110.jpg,3.1602,32.8107,25.0059
val,0_1_part_006.mp4_frame_000117.jpg,3.2128,33.383,24.8242
val,0_1_part_006.mp4_frame_000122.jpg,3.5395,36.0646,25.5231
val,0_1_part_006.mp4_frame_000125.jpg,3.0509,31.4172,22.3239
